alg,instance,cycle,budget,risk,fit,solution
HC,nrp-e1,24,30,0,5971.0,[S---S---S--------------SS-----S---SSS----S---S--S-SS--S----------S---S----S--SS-----SSS------S--S---------S--S---------SS---SS---S-SS-S--S---S---S-------S--S----S-S--S---SS-S-S-S--SS--SSSS----S------SS---S-----S--------SS-S-SS-S-SS----S------S-SSS-SSSSS-SS------S--S--S-SS----------S--SS-S--SSS-SSS-S--SS---------S-S----S-S---SS-S-S-SSS-----SSSSS---S-S----S-----S--SSSS-S--S-SSS-SS---SSSS--S--S-S---SSSSSS----SS----S-S-S--S---S-SSS---SSS--S----SSS-SS-SS--SSS--SSS---S----S----SSSS---S--SS-S---SS--------S-SSS-SS-SS-S--SS-S-S-SSSSS-----S]
HC,nrp-e1,25,30,0,6093.0,[-S---S-SSS-----S---S---S-----S----SS------SS-SS---S----S--S--S-SS-S------S---SS-----S----SS-SS-S-S-----------S---------SS----S--S--SSS-S--S-S----SS--S-SS-SS----S-S-----S--SS-----------SS----------S-SS-SSS---------S-------S-S-SS---S----SSSS----SSS---S-SS-S----SSSS---S-SS---S--SS-SS-SSS---S----S--S-S----SSS-S--SSS---S--S-S---S-----------------SSSS-SSSSS--S-SS---SSSS-S-SSS--S-SS--S--SSSS--S---S-----S-SSS--SSS-----S----SS---S-SSS-S---SS--S---SSSS--S--S--S-SSSS-S-SS--SS----S---SS-SSS----SS-SSSSS-SS---SS---S--S-SSS---SSS--SS---S------SS]
HC,nrp-e1,26,30,0,5851.0,[-------SS--S------------S--S------SSS-S------S----S------------S-S-S-SSS------SSS--SS-----S-S---S------S----------S-S---S-S-S------SS-----------SS-S---SSSSS-S---S---S--S-SS--S-----S-S--SSS-S---------SS-SSSSSS--SSSS----------S-S--S---S--S--S-S-SSS--S--SS-SS-S--S-S-----SSSS----S-S-S-S----S--S--SS-------SS-S----S--SSSS----S---S----------S-----SSSSSSS-S--SS--S----SS-SSSS--S---SSS-SSS-S-S----S--S-------SSSS--S----------S-SS-S-SS--S-S-SSS--S-----SS--S----S-SSSS--S-SSSS-S----S------SSS----S-SS-S-SS---SSS-SS--S-SS-SS--S-SS------SS---SSS-S]
HC,nrp-e1,27,30,0,6039.0,[SS--S--SS--S---S-------SSS------S-S--SS-S-S-SSS-------SS-------SS-S---SSS-----S-S------S-S--S--S-------------S-------S--S-SS-------SS---S-SS-----------S-S------S----S----SS--S---S----S---S---------SS-SS--S---S----------S----S-S--S-S---SSSSS------S--S-SSS-S--------S-S----SS---SS--S-SS---SS----S-SS-----SS--S--S--S-S-----S-SS--SS----SSSS-------S---S-SSS--SS-S---S-S-S--S----SSSSS---S-S--SS--S---S-S--S-S--S-SS-SS-----SS---SSSS-SS-SS--SSS---S---SSS-S---SSS-SSS--SSSSS-----S-SS-----SSSS---SS--SS------S--SS-S---SSSSSSS-SSSS-SSS---SSS--S-SS]
HC,nrp-e1,28,30,0,6047.0,[-----------S------S----S-S------------S----S-------S--S------S-S-S-S-SS-SS--SS-SS--S-----S-----SS---S--S---S-S---S---S--S--S---------S---S--SS--S--S----S------SS-S--S----SS-S-S-S-SS----S-------S--SS-S-SSS---S-----S------SS---SS--SSS-S-SSSSS-S-------SSSS--SS-----------S-----S--S-----SSS--------S--SS---SS-S----SS---S---SS---S-SS-S-S---SS----S-SSS-S-S----S---S---SSSS----SS-S-S-S-S-----SSS---S--S-----S--SS-S-SSSS--S-SSS-S---S-S-SSSS--SSS-SS-S--SS---S-S-S-SSSSS--S-S---S-SS-SS--SS--S--------SS-S-SS-S--SS-S-----S-S---SSSSSSSS-SSSSS--S-SS]
HC,nrp-e1,29,30,0,5888.0,[-----S----SS---SS---S-SS---------SS--------SSSSS----S-----S--------S-S----S---S-----S--S--S--S--SS---------------SS-------S-SS-SSS-SS-----S-------SS-S-SS-SSS---S-SS-------S----S--S----SS---S--S-SSS--SS---S--SS----S------S-S--SS---S----S-----SS-SS-SSS-SS--S----S-------S--------S--S--S-S--S--S-SS-S-S---SS-----S--S---S----SS---SS----S--S-S---S-S---SSS----S----S-S---SS-S--S-SSSSS-S---S-SSS-SS---S-----SSSSS--SSSS---S--S----S-S-S-S----SSS--------SS--S-SS-S-SSS--S--S--SS---SSS-S-SS------SSS--------S-SS--SSSSSSSSSSSS--S-SSS-S---S-SS-----S]
ILS,nrp-e1,0,30,0,7841.0,[--S--S--S--S---S--S---SSS---------SS--S--SS-SSS---SSS-SS--S----S---S-S---SS--S-SS---S-----S--S--SS--------S------S------S-S--------SS----S-------S-S---SS-SS----S-S-------SS---S--S-SSSSSS-S-S----S----S-S-SS------S-S-----S-SS-SSS--SS----SSSSS-S-SSSS-SS-SS--S----S-SS-S-SSSSSS-S--S--S-SS----S--S-SS-S----SSSSSS-----SS--S--S----S-SS-S-S-SSSSS---SSSS-SSSSSS-SSS-S---SSS-SS-S-S----SSS--SS-SSSSS-SS--SSS--SS-SS-S-SSSSS---S-SSS---S-S--S-SSS-SSSS-SSSSSSSS--S--SSSS-SSSSSSSS----SS-S-S--SSS--SSS---S-SSSS--SS---SSSSS--S-S--SSSSSSSS-SSS-SSSSS-SS-SS]
ILS,nrp-e1,1,30,0,7772.0,[--S--S--S------S--S---SSSS--------SS-SS--SS--SS---SSS-SS--S----S---S-S---SS-SS------S-----S--S--SS---S-----------S------SSS--------SS------------S-S---SS-SS----S---------SS---S--S-S-SSSS-S------S----S-S-SS--S-S-S-S-----S-SS-SSS-S-S----SSSSS-S--SSS-SS-SS--S----S-SS-S-SSSSSS-S--S--S-SS----S--S-S--S----SSSSS-----SSS--S----S--S-SS-S-S-SSS-S---SSSS-SSSSSS-SSS-S----SS-SS-SSS----SSS--SS-SSSSSSSS--SSS--SS-SS-S-SSSSS---S-SSS-S-S-S--SSSSS-SSSS-SS--SSSS--S--SSSS-SSSSSSSS----SS---SS-SSS--SSS---S-SSSSSSSS---SSSSS--S-S--SSSSSSSSS-SS-SSSSS-SS-SS]
ILS,nrp-e1,2,30,0,7809.0,[--S--S--S--S---S--S---SSS---------SSS-S--SSS-SS---SSS-SS--S----S-----S---SS-SS--S--SS-----S-SS--SS--------S------------SSSS--------SS--S-S-------S-S----S-SS----S-S-------SS--------SSS--S-S-----------SSS-SS----S-S-S-----S--S-SSS--SS----SSSSS-S-SSSS-SS-SS--S----S-SS-S-SSSSSS-S-SS--S-SS----S--S-SS-S----SSSSS------SS--S--S-S--S-SS-----SSS-S---SSSS-SSSSSS-SSS-S---SSS-SS-SSSS---SSS---S-SSSSSSSS---SSS-SS-SS-S-SSSSS---S-SSS-S-SSS--SSSSS-SSSS-SS--SSSS--S--SSSS-SSSSSSSS----SS---SS-SSS--SSS---SSSSSS-SSS---SSSSS--S-S--SSSSSSSSS-SS-SSSSS-SS-SS]
ILS,nrp-e1,3,30,0,7841.0,[--S--S--S--S---S--S---SSSS-S------SSS-S--SS--SS---SSS-SS--S----S---S-S---SS--S--S--SS----SS--S--SS--------S------S------S-S--------SS----S---S---S-S---SSSSS----SSS-------SS------SSSSS--S-S-S----S----SSS-SS------S-S-----S-SS--SS--SS----SSSSS----SSS-SS-SS-SS----S-SS-S-SSSSSS---SS--S-SS----SS-S-S--S----SSSSSS-----SS--S--S-S----SS---S-SSS-S---SSSS-SS-SS--SSS------SS-SS-SSS----SSS-SSS-SSSSS-SS--SSS--SS-SS-S-SSSSS-----SSSSS-S-S--SSSS--SSSS-SS-SSSSS--S--SSSS-SS-SSSSS--S-SS-S-S--SSS--SSS---S-SSSS-SSS----SSSS--SSS--SSSSSSSSSSSS-SSSSS-SS-SS]
